Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Robby Fabbri,29,C,44,8,8,16,-6,20,8,0,0,0,8,0,0,65,12.3,111,16:12,71,85,45.5,29,58,14,30
Radko Gudas,34,D,81,1,15,16,4,86,1,0,0,0,15,0,0,89,1.1,252,19:52,0,0,,178,261,15,104
David Perron,36,LW,43,9,7,16,-7,12,5,4,0,2,5,2,0,71,12.7,135,14:01,6,13,31.6,9,72,13,25
Nathan Walker,30,C,73,8,8,16,-5,63,8,0,0,0,7,0,1,72,11.1,133,12:06,82,74,52.6,61,281,10,43
Sean Walker,30,D,82,5,11,16,-7,46,5,0,0,0,11,0,0,145,3.4,375,16:50,0,0,,90,91,40,67
Urho Vaakanainen,26,D,51,2,14,16,8,18,2,0,0,0,14,0,0,42,4.8,107,16:25,0,0,,49,19,10,40
Michael Eyssimont,28,C,77,9,7,16,1,63,9,0,0,2,7,0,0,142,6.3,252,10:37,6,12,33.3,23,110,12,33
Juuso Pärssinen,23,C,48,6,10,16,-5,19,6,0,0,0,9,1,0,30,20,61,10:32,92,104,46.9,29,86,4,18
Morgan Barron,26,C,74,8,7,15,8,16,6,0,2,0,7,0,0,92,8.7,169,10:23,85,78,52.1,38,122,23,31
Yegor Chinakhov,23,RW,30,7,8,15,-6,4,5,2,0,1,5,3,0,68,10.3,140,15:43,0,0,,10,47,4,18
Nick Cousins,31,C,50,6,9,15,-1,41,6,0,0,0,9,0,0,68,8.8,124,11:54,1,6,14.3,26,85,5,23
Pierre Engvall,28,LW,62,8,7,15,-7,16,8,0,0,2,7,0,0,93,8.6,162,11:49,10,24,29.4,12,47,7,36
Radek Faksa,31,C,70,5,10,15,-2,30,5,0,0,1,10,0,0,68,7.4,143,13:01,432,326,57,50,115,13,32
Trent Frederic,26,C,58,8,7,15,-16,44,7,1,0,0,5,2,0,78,10.3,167,13:43,93,120,43.7,29,157,12,32
Zachary L'Heureux,21,LW,62,5,10,15,-6,63,5,0,0,0,9,1,0,78,6.4,151,12:03,0,4,0,25,198,14,33
Isac Lundeström,25,C,79,4,11,15,-12,10,4,0,0,1,10,1,0,60,6.7,105,13:33,442,494,47.2,68,48,15,26
Sam Malinski,26,D,76,5,10,15,8,16,5,0,0,0,9,1,0,115,4.3,279,15:57,0,0,,107,57,29,68
Josh Manson,33,D,48,1,14,15,-6,28,1,0,0,0,12,1,1,65,1.5,167,18:02,0,0,,59,105,20,74
Colin Miller,32,D,60,4,11,15,10,38,3,1,0,0,10,1,0,68,5.9,187,14:31,0,0,,50,84,12,53
David Savard,34,D,75,1,14,15,-8,36,1,0,0,0,14,0,0,48,2.1,113,16:35,0,0,,180,56,18,51
Ryan Suter,40,D,82,2,13,15,7,24,1,0,1,0,13,0,0,62,3.2,158,19:28,0,0,,109,39,15,64
Yakov Trenin,28,C,76,7,8,15,-1,54,5,0,2,2,8,0,0,85,8.2,178,12:31,21,27,43.8,32,241,12,51
Egor Zamula,24,D,63,3,12,15,-14,6,3,0,0,1,12,0,0,37,8.1,113,16:31,0,0,,91,24,15,52
William Borgen,28,D,84,5,10,15,-4,42,4,0,1,0,10,0,0,81,6.2,211,17:05,0,0,,117,122,22,73
Conor Timmins,26,D,68,3,12,15,11,30,3,0,0,0,12,0,0,69,4.3,189,16:55,0,0,,90,55,11,59
Conor Geekie,20,C,52,8,6,14,-4,16,7,1,0,3,5,1,0,60,13.3,125,12:20,73,99,42.4,25,97,8,29
Mathieu Joseph,27,RW,60,4,10,14,-6,28,3,0,1,0,10,0,0,69,5.8,138,11:54,33,31,51.6,36,121,16,25
Dakota Joshua,28,C,57,7,7,14,-13,38,5,1,1,0,6,1,0,52,13.5,109,12:58,23,19,54.8,29,193,12,36
Mark Kastelic,25,C,61,5,9,14,-3,106,5,0,0,0,9,0,0,67,7.5,119,10:44,199,167,54.4,39,218,12,26
Philipp Kurashev,25,C,51,7,7,14,-28,14,6,1,0,1,7,0,0,54,13,112,13:43,97,109,47.1,16,30,13,27
Ilya Lyubushkin,30,D,80,1,13,14,5,32,1,0,0,0,13,0,0,51,2,146,17:23,0,0,,136,84,20,109
John Marino,27,D,35,1,13,14,1,2,1,0,0,0,13,0,0,29,3.4,76,21:10,0,0,,46,9,10,32
Michael McCarron,29,RW,74,5,9,14,-21,102,5,0,0,1,9,0,0,80,6.3,166,13:45,502,421,54.4,61,149,15,29
J.J. Moser,24,D,54,2,12,14,20,22,1,0,1,0,11,1,0,48,4.2,146,18:51,0,0,,70,34,23,45
Mattias Samuelsson,24,D,62,4,10,14,3,22,4,0,0,1,9,1,0,52,7.7,106,19:18,0,0,,93,105,11,55
Logan Stanley,26,D,63,1,13,14,9,78,1,0,0,0,13,0,0,49,2,134,15:35,0,0,,76,88,11,59
Kasperi Kapanen,28,RW,67,6,8,14,-22,16,6,0,0,2,8,0,0,66,9.1,123,11:55,39,55,41.5,14,88,9,42
Nico Sturm,29,C,62,7,7,14,-6,20,6,0,1,1,7,0,0,59,11.9,115,10:25,248,174,58.8,34,107,7,20
Jakub Vrána,28,LW,39,9,5,14,-4,10,5,4,0,4,5,0,0,47,19.1,91,10:21,7,13,35,8,19,6,21
Adam Boqvist,24,D,35,4,10,14,-9,10,3,1,0,0,5,5,0,40,10,105,14:04,0,0,,19,13,4,21
Jacob Trouba,30,D,77,1,13,14,-8,66,1,0,0,0,13,0,0,111,0.9,268,20:31,0,0,,208,164,29,90
Ben Chiarot,33,D,81,4,9,13,-14,69,4,0,0,0,8,1,0,109,3.7,261,21:14,0,0,,142,127,26,86
Ty Emberson,24,D,76,2,11,13,-5,18,2,0,0,1,10,0,1,62,3.2,154,15:07,0,0,,97,125,32,47
Drew Helleson,23,D,56,4,9,13,6,47,4,0,0,1,8,0,1,63,6.3,152,16:21,0,0,,73,99,17,47
Tanner Jeannot,27,F,67,7,6,13,0,89,7,0,0,1,6,0,0,56,12.5,129,11:01,8,10,44.4,37,211,3,36
David Kämpf,30,C,59,5,8,13,-1,14,4,0,1,0,7,0,1,45,11.1,81,12:24,278,265,51.2,26,50,17,30
Tye Kartye,23,F,63,6,7,13,-14,43,5,0,1,0,7,0,0,56,10.7,113,9:41,3,12,20,29,175,4,24
Dmitry Kulikov,34,D,70,4,9,13,12,38,4,0,0,0,8,1,0,64,6.3,173,19:16,0,0,,71,114,32,78
Ryan Lomberg,30,LW,80,3,10,13,-5,57,3,0,0,0,10,0,0,66,4.5,127,8:39,5,11,31.3,19,120,11,18
Denton Mateychuk,20,D,45,4,9,13,4,20,4,0,0,0,9,0,0,44,9.1,111,18:02,0,0,,63,26,19,35
Max Pacioretty,36,LW,37,5,8,13,-2,16,5,0,0,1,8,0,0,70,7.1,130,13:30,6,5,54.5,14,105,5,27
Jayden Struble,23,D,56,2,11,13,2,52,2,0,0,0,11,0,0,47,4.3,136,14:57,0,0,,54,124,23,51
Zach Whitecloud,28,D,74,4,9,13,7,37,4,0,0,0,9,0,0,72,5.6,194,17:31,0,0,,103,117,14,74
Artem Zub,29,D,56,2,11,13,3,34,2,0,0,1,8,1,2,57,3.5,136,20:38,0,0,,118,58,19,50
Justin Barron,23,D,62,6,7,13,-18,23,6,0,0,0,6,1,0,73,8.2,172,17:26,0,0,,83,80,14,54
Carson Soucy,30,D,75,4,9,13,-11,46,4,0,0,2,9,0,0,81,4.9,196,17:55,0,0,,106,115,17,78
Noel Acciari,33,C,79,5,7,12,-25,16,5,0,0,0,6,0,1,75,6.7,151,13:46,321,277,53.7,100,180,14,33
Declan Chisholm,25,D,66,2,10,12,-5,10,1,1,0,1,9,1,0,69,2.9,161,17:00,0,0,,69,33,27,83
Sam Colangelo,23,RW,32,10,2,12,-4,2,8,2,0,1,2,0,0,41,24.4,88,12:29,4,11,26.7,17,67,1,17
Nicolas Hague,26,D,68,5,7,12,-2,40,5,0,0,1,7,0,0,74,6.8,177,17:00,0,0,,74,82,18,56
Alexander Holtz,23,RW,53,4,8,12,-3,10,3,1,0,0,7,1,0,69,5.8,136,11:35,3,10,23.1,15,39,3,35
Kevin Labanc,29,RW,34,2,10,12,1,12,2,0,0,0,10,0,0,35,5.7,93,10:30,0,3,0,14,29,6,14
Trevor Lewis,38,C,60,6,6,12,-4,20,6,0,0,1,6,0,0,53,11.3,114,10:13,92,106,46.5,35,100,4,22
Alec Martinez,37,D,44,5,7,12,-15,8,5,0,0,0,5,2,0,38,13.2,116,18:44,0,0,,81,24,9,41
Brayden Pachal,25,D,76,3,9,12,5,88,3,0,0,0,8,0,1,61,4.9,196,14:14,0,0,,83,159,16,64
Cole Smith,29,F,71,4,8,12,-15,69,4,0,0,0,7,0,1,69,5.8,140,13:36,9,8,52.9,29,163,18,41
Henry Thrun,23,D,60,2,10,12,-23,30,2,0,0,0,10,0,0,52,3.8,114,17:31,0,0,,66,43,12,37
Brandon Carlo,28,D,83,1,11,12,6,37,1,0,0,0,11,0,0,77,1.3,202,18:54,0,0,,157,90,21,107
Marat Khusnutdinov,22,C,75,5,7,12,-11,20,5,0,0,0,5,1,1,41,12.2,77,12:05,189,244,43.6,47,55,6,47
John Beecher,23,C,78,3,8,11,-9,26,3,0,0,0,8,0,0,44,6.8,98,11:17,281,261,51.8,71,85,14,49
William Carrier,30,LW,43,4,7,11,0,16,4,0,0,1,7,0,0,48,8.3,114,11:44,6,6,50,12,156,11,19
Anthony Duclair,29,LW,44,7,4,11,-15,10,4,3,0,0,4,0,0,60,11.7,121,15:03,0,1,0,21,26,9,43
Sean Durzi,26,D,30,4,7,11,4,19,3,1,0,0,6,1,0,39,10.3,131,20:39,0,0,,52,15,11,46
Derek Forbort,32,D,54,2,9,11,-7,45,2,0,0,1,8,1,0,39,5.1,115,17:06,0,0,,77,65,8,55
Collin Graf,22,F,33,5,6,11,-4,8,3,1,1,1,3,3,0,40,12.5,64,15:52,4,8,33.3,15,20,7,15
Zachary Jones,24,D,46,1,10,11,0,24,1,0,0,0,9,1,0,51,2,118,17:15,0,0,,46,28,16,40
Kyle MacLean,25,F,81,4,7,11,-15,14,4,0,0,0,7,0,0,61,6.6,120,9:58,273,293,48.2,29,108,12,26
Matthew Poitras,20,C,33,1,10,11,-5,8,1,0,0,1,10,0,0,29,3.4,76,13:05,59,70,45.7,10,12,14,28
Aatu Räty,22,C,33,7,4,11,-1,14,7,0,0,0,3,1,0,34,20.6,60,10:39,192,141,57.7,7,80,2,8
Elmer Söderblom,23,RW,26,4,7,11,2,6,4,0,0,1,7,0,0,38,10.5,84,13:22,4,11,26.7,12,43,5,21
Alexandre Texier,25,C,31,6,5,11,-3,10,5,1,0,1,4,1,0,50,12,89,12:29,0,2,0,11,20,5,13
Jakub Lauko,24,C,56,5,6,11,-13,47,4,0,1,2,6,0,0,42,11.9,87,10:43,1,9,10,39,119,6,25
Nathan Bastian,27,RW,59,4,6,10,-4,31,2,1,1,1,6,0,0,44,9.1,84,10:56,8,17,32,27,138,2,24
Simon Benoit,26,D,78,1,9,10,12,59,1,0,0,0,8,0,1,48,2.1,102,16:33,0,0,,111,204,16,70
Brett Berard,22,LW,35,6,4,10,-6,8,6,0,0,1,4,0,0,59,10.2,108,10:43,3,4,42.9,20,53,7,18
T.J. Brodie,34,D,54,2,8,10,-18,18,2,0,0,0,8,0,0,23,8.7,77,15:38,0,0,,58,16,14,46
Dennis Cholowski,26,D,39,3,7,10,-3,10,3,0,0,0,5,2,0,30,10,75,13:04,0,0,,33,5,8,38
Mathew Dumba,30,D,63,1,9,10,-5,60,1,0,0,0,8,1,0,57,1.8,199,15:18,0,0,,60,70,16,62
Adam Klapka,24,F,31,6,4,10,-3,29,6,0,0,0,4,0,0,44,13.6,75,9:39,6,11,35.3,25,108,6,11
Tyler Kleven,23,D,79,4,6,10,-11,27,4,0,0,1,5,1,0,78,5.1,189,14:28,0,0,,97,105,30,64
Kaedan Korczak,24,D,40,0,10,10,15,2,0,0,0,0,10,0,0,34,0,87,15:04,0,0,,40,59,7,36
Beck Malenstyn,26,LW,76,4,6,10,-16,29,4,0,0,0,6,0,0,67,6,133,10:32,19,15,55.9,63,191,10,39
Kevin Rooney,31,C,70,5,5,10,-6,14,5,0,0,0,4,0,1,54,9.3,104,9:25,195,218,47.2,39,109,9,30
Jack Thompson,22,D,31,4,6,10,-9,10,4,0,0,0,3,3,0,41,9.8,98,15:47,0,0,,54,12,7,37
Jesse Puljujärvi,26,RW,31,4,6,10,-1,25,4,0,0,0,5,1,0,50,8,103,11:47,0,1,0,9,80,3,15
Vinnie Hinostroza,30,C,38,5,5,10,2,10,2,3,0,1,5,0,0,48,10.4,104,13:01,7,10,41.2,12,41,8,31
Connor Dewar,25,C,48,4,6,10,-3,14,4,0,0,0,5,0,1,55,7.3,104,11:33,53,71,42.7,37,129,6,36
Henri Jokiharju,25,D,60,3,7,10,13,14,3,0,0,2,7,0,0,59,5.1,174,17:50,0,0,,53,50,13,64
Jordan Oesterle,32,D,37,4,6,10,0,4,4,0,0,0,6,0,0,38,10.5,100,17:09,0,0,,57,27,15,51
Cam Atkinson,35,RW,39,4,5,9,-4,11,3,1,0,0,5,0,0,47,8.5,68,9:00,1,2,33.3,10,15,3,12
Lian Bichsel,20,D,38,4,5,9,2,41,4,0,0,1,5,0,0,39,10.3,100,14:53,0,0,,23,155,4,22
Marc Del Gaizo,25,D,46,2,7,9,-3,21,2,0,0,0,7,0,0,76,2.6,158,16:45,0,0,,53,71,19,38
Adam Edstrom,24,C,51,5,4,9,-5,27,5,0,0,2,4,0,0,40,12.5,72,9:16,0,4,0,34,94,7,19
Marc Gatcomb,25,F,39,8,1,9,-4,11,8,0,0,1,1,0,0,41,19.5,74,9:47,5,7,41.7,23,149,7,12
Carl Grundström,27,RW,56,3,6,9,-21,24,3,0,0,0,6,0,0,88,3.4,151,9:36,3,4,42.9,18,172,5,35
Joel Hanley,33,D,53,2,7,9,12,21,2,0,0,1,7,0,0,42,4.8,129,18:35,0,0,,90,55,7,67
Albert Johansson,24,D,61,3,6,9,-11,30,3,0,0,2,6,0,0,48,6.3,130,16:22,0,0,,83,70,15,54
Tyson Jost,26,C,39,4,5,9,2,33,4,0,0,0,5,0,0,44,9.1,77,10:22,57,69,45.2,17,46,6,9
Josh Mahura,26,D,64,0,9,9,5,20,0,0,0,0,9,0,0,58,0,135,13:45,0,0,,54,89,10,41
Scott Mayfield,32,D,66,3,6,9,18,27,2,0,1,0,6,0,0,51,5.9,151,17:00,0,0,,105,89,27,59
Daniil Miromanov,27,D,44,2,7,9,2,12,2,0,0,1,7,0,0,52,3.8,143,17:41,0,0,,55,19,11,42
Tyler Motte,29,C,55,4,5,9,-11,6,4,0,0,0,5,0,0,66,6.1,134,11:19,60,85,41.4,48,72,16,31
Shakir Mukhamadullin,23,D,30,2,7,9,-7,8,2,0,0,0,5,2,0,30,6.7,84,18:04,0,0,,51,25,5,33
Tomáš Nosek,32,C,59,1,8,9,4,10,0,1,0,0,7,0,1,47,2.1,114,9:49,236,220,51.8,24,83,5,20
Jan Rutta,34,D,54,3,6,9,-3,28,3,0,0,0,6,0,0,55,5.5,152,17:15,0,0,,81,40,11,55
Jonas Siegenthaler,27,D,55,2,7,9,9,44,2,0,0,0,7,0,0,52,3.8,133,19:36,0,0,,92,75,14,59
Scott Perunovich,26,D,35,2,7,9,-3,10,2,0,0,0,7,0,0,18,11.1,43,16:00,0,0,,37,15,10,29
Nolan Allan,21,D,43,1,7,8,-13,16,1,0,0,0,7,0,0,17,5.9,64,15:08,0,0,,48,61,8,22
Erik Brännström,25,D,28,3,5,8,-4,17,3,0,0,1,4,1,0,33,9.1,81,14:56,0,0,,39,14,6,26
Seamus Casey,21,D,14,4,4,8,3,0,2,2,0,1,3,1,0,12,33.3,28,12:39,0,0,,7,10,2,16
Jake Christiansen,25,D,68,1,7,8,6,11,1,0,0,0,7,0,0,58,1.7,135,12:32,0,0,,65,50,8,51
Luca Del Bel Belluz,21,C,15,2,6,8,2,0,2,0,0,0,5,1,0,18,11.1,30,13:45,65,86,43,12,4,3,9
Ty Dellandrea,24,C,68,1,7,8,-31,59,1,0,0,0,6,0,1,50,2,117,11:48,209,210,49.9,47,163,9,33
Barclay Goodrow,31,RW,77,5,3,8,-37,75,4,0,1,0,3,0,0,73,6.8,141,13:47,108,144,42.9,60,150,26,54
Jordan Greenway,27,LW,34,3,5,8,-4,45,3,0,0,0,5,0,0,36,8.3,88,15:04,7,27,20.6,29,100,7,23
Justin Holl,33,D,73,2,6,8,-7,16,2,0,0,0,6,0,0,41,4.9,107,14:48,0,0,,78,35,8,66
Ivan Ivan,22,F,40,5,3,8,-9,8,3,2,0,0,2,1,0,34,14.7,65,10:02,56,81,40.9,9,12,2,22
Wyatt Kaiser,22,D,57,4,4,8,0,14,4,0,0,0,4,0,0,66,6.1,127,18:07,0,0,,93,54,23,60
Justin Kirkland,28,LW,21,2,6,8,6,11,2,0,0,0,6,0,0,9,22.2,23,9:42,54,72,42.9,16,45,3,8
Rasmus Kupari,24,C,59,5,3,8,-1,16,5,0,0,1,3,0,0,53,9.4,99,10:16,262,237,52.5,31,77,9,30
Hendrix Lapierre,22,C,27,0,8,8,-3,4,0,0,0,0,8,0,0,18,0,37,9:48,40,61,39.6,14,12,5,17
Brock McGinn,30,LW,26,4,4,8,1,0,4,0,0,0,4,0,0,30,13.3,48,11:43,1,7,12.5,28,61,7,8
Jacob Moverare,26,D,49,1,7,8,2,10,1,0,0,0,7,0,0,30,3.3,76,11:52,0,0,,60,31,7,24
Jeff Petry,37,D,44,1,7,8,-2,16,1,0,0,1,6,1,0,33,3,107,18:54,0,0,,77,51,16,51
Matt Rempe,22,C,42,3,5,8,7,67,3,0,0,0,5,0,0,30,10,59,8:30,2,11,15.4,14,117,4,8
Cole Schwindt,23,RW,42,1,7,8,3,0,1,0,0,0,7,0,0,32,3.1,68,9:15,110,108,50.5,17,41,6,21
Miles Wood,29,LW,37,4,4,8,-5,48,4,0,0,1,4,0,0,60,6.7,122,11:21,3,8,27.3,15,48,6,26
Calvin de Haan,33,D,47,0,8,8,-4,12,0,0,0,0,8,0,0,51,0,146,14:58,0,0,,63,71,7,35
Jimmy Vesey,31,LW,43,5,3,8,-4,0,5,0,0,0,3,0,0,36,13.9,75,10:39,3,12,20,12,32,7,23
Victor Mancini,22,D,31,2,6,8,-9,10,1,1,0,0,6,0,0,27,7.4,72,15:18,0,0,,41,38,3,29
Jacob Bernard-Docker,24,D,40,2,6,8,5,17,2,0,0,0,6,0,0,32,6.3,94,13:37,0,0,,50,30,3,22
Emil Andrae,22,D,42,1,6,7,-5,16,1,0,0,0,3,3,0,52,1.9,127,17:21,0,0,,50,46,16,44
Jake Bean,26,D,64,2,5,7,0,8,2,0,0,0,5,0,0,71,2.8,170,15:05,0,0,,43,22,27,46
Jacob Bryson,27,D,48,0,7,7,-9,10,0,0,0,0,7,0,0,20,0,54,14:24,0,0,,51,15,8,33
Colton Dach,22,C,25,2,5,7,-3,17,2,0,0,0,5,0,0,27,7.4,47,12:08,6,6,50,12,86,13,12
Justin Dowling,34,C,52,2,5,7,-6,6,2,0,0,0,5,0,0,34,5.9,86,10:13,158,169,48.3,22,51,14,29
Christian Fischer,27,RW,46,1,6,7,-6,11,1,0,0,0,6,0,0,31,3.2,66,11:07,9,7,56.3,19,93,4,15
Haydn Fleury,28,D,39,0,7,7,-12,6,0,0,0,0,7,0,0,38,0,105,15:56,0,0,,56,48,3,39
Ethen Frank,26,F,24,4,3,7,3,6,4,0,0,1,2,1,0,23,17.4,42,10:49,0,1,0,16,11,5,10
Luke Glendening,35,C,77,4,3,7,-9,10,3,0,1,0,2,0,1,51,7.8,97,10:47,502,379,57,58,105,6,19
Travis Hamonic,34,D,59,1,6,7,-16,19,1,0,0,0,6,0,0,72,1.4,191,17:04,0,0,,92,73,17,62
Samuel Helenius,22,C,50,4,3,7,1,25,4,0,0,1,3,0,0,29,13.8,64,8:39,130,148,46.8,16,150,4,22
Calle Järnkrok,33,C,19,1,6,7,1,4,0,1,0,0,6,0,0,9,11.1,26,13:14,2,7,22.2,9,15,1,4
Ville Koivunen,21,RW,8,0,7,7,0,4,0,0,0,0,4,3,0,15,0,30,18:07,1,0,100,8,1,3,6
Klim Kostin,25,C,35,1,6,7,-6,27,1,0,0,0,5,1,0,28,3.6,52,10:41,4,9,30.8,17,111,5,27
Sam Lafferty,29,C,60,4,3,7,-15,28,4,0,0,0,3,0,0,50,8,93,9:53,79,77,50.6,16,89,5,22
Hampus Lindholm,31,D,17,3,4,7,-4,4,3,0,0,1,3,1,0,35,8.6,81,20:51,0,0,,17,5,14,30
Anthony Mantha,30,RW,13,4,3,7,6,11,2,1,1,1,3,0,0,15,26.7,35,13:54,3,6,33.3,8,16,3,7
Mikael Pyyhtia,23,LW,47,4,3,7,-11,6,3,0,1,0,3,0,0,32,12.5,71,12:06,2,1,66.7,39,25,9,26
Max Sasson,24,F,29,3,4,7,1,0,3,0,0,0,4,0,0,31,9.7,46,10:20,47,63,42.7,13,18,6,12
Troy Stecher,30,D,66,3,4,7,-2,27,3,0,0,0,4,0,0,55,5.5,133,13:52,0,0,,66,35,11,50
Tyler Tucker,24,D,38,3,4,7,4,55,3,0,0,0,3,0,1,33,9.1,98,14:35,0,0,,39,81,13,28
Parker Wotherspoon,27,D,55,1,6,7,-10,10,1,0,0,0,6,0,0,44,2.3,103,18:02,0,0,,66,75,15,68
Noah Gregor,26,C,52,4,3,7,-21,28,3,0,1,2,3,0,0,60,6.7,145,11:06,4,3,57.1,33,94,7,17
Vladislav Kolyachonok,23,D,35,2,5,7,-12,10,2,0,0,1,5,0,0,20,10,57,13:01,0,0,,31,27,6,32
Luke Schenn,35,D,76,1,6,7,-4,45,1,0,0,0,6,0,0,77,1.3,197,15:57,0,0,,104,300,16,63
Daniel Sprong,27,RW,30,2,5,7,-1,2,1,1,0,1,4,1,0,55,3.6,112,12:12,0,4,0,4,32,4,14
Nils Åman,24,C,19,1,5,6,-2,2,1,0,0,0,5,0,0,8,12.5,20,10:29,28,46,37.8,2,22,3,3
Ethan Del Mastro,22,D,24,2,4,6,-3,6,2,0,0,0,4,0,0,19,10.5,50,18:19,0,0,,21,40,6,25
Nick DeSimone,30,D,20,1,5,6,4,0,1,0,0,0,5,0,0,24,4.2,49,15:35,0,0,,14,14,5,25
Phillip Di Giuseppe,31,LW,20,1,5,6,-2,4,1,0,0,0,5,0,0,23,4.3,38,11:34,1,4,20,6,54,1,4
