Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Ville Ottavainen,22,D,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,4,14:24,0,0,,1,3,0,0
Zayne Parekh,18,D,1,1,0,1,3,2,1,0,0,0,0,0,0,2,50,3,20:31,0,0,,1,1,0,1
Isaak Phillips,23,D,3,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,5,11:54,0,0,,4,3,0,2
Calvin Pickard,32,G,36,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,52:16:00,0,0,,0,0,0,15
Andrew Poturalski,31,C,3,0,1,1,-1,2,0,0,0,0,1,0,0,5,0,6,14:27,21,22,48.8,4,0,0,1
Samuel Poulin,23,RW,7,0,1,1,1,2,0,0,0,0,1,0,0,3,0,11,10:04,0,0,,0,10,2,7
Jonathan Quick,39,G,24,0,1,1,0,2,0,0,0,0,0,0,1,0,,0,55:14:00,0,0,,0,0,0,7
Calum Ritchie,20,C,7,1,0,1,-7,0,1,0,0,0,0,0,0,11,9.1,20,12:47,3,4,42.9,2,6,1,4
Isak Rosen,21,RW,8,0,1,1,-3,0,0,0,0,0,1,0,0,8,0,15,9:38,0,0,,2,3,1,5
Chad Ruhwedel,34,D,5,0,1,1,2,0,0,0,0,0,1,0,0,1,0,7,14:06,0,0,,5,8,1,4
Ilya Samsonov,27,G,29,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,60:11:00,0,0,,0,0,0,4
Juuse Saros,29,G,58,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,57:54:00,0,0,,0,0,0,24
Matthew Savoie,21,C,4,0,1,1,-4,0,0,0,0,0,1,0,0,6,0,15,12:31,4,2,66.7,1,3,1,1
Dominik Shine,31,F,9,0,1,1,-1,15,0,0,0,0,1,0,0,5,0,8,8:39,0,0,,3,16,3,5
Ilya Solovyov,24,D,5,0,1,1,-3,2,0,0,0,0,1,0,0,6,0,18,15:40,0,0,,8,12,3,6
Justin Sourdif,22,RW,1,1,0,1,1,0,1,0,0,1,0,0,0,2,50,2,9:27,0,0,,0,0,0,0
Jack St. Ivany,25,D,19,0,1,1,-3,17,0,0,0,0,1,0,0,12,0,35,16:22,0,0,,25,38,7,16
Anthony Stolarz,31,G,34,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,58:26:00,0,0,,0,0,0,11
Daniil Tarasov,25,G,20,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,55:01:00,0,0,,0,0,0,6
Logan Thompson,27,G,43,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,58:57:00,0,0,,0,0,0,11
T.J. Tynan,32,C,9,0,1,1,-1,4,0,0,0,0,1,0,0,5,0,10,7:51,7,14,33.3,4,5,0,5
Vítek Vaněček,29,G,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,55:45:00,0,0,,0,0,0,9
Karel Vejmelka,28,G,58,0,1,1,0,0,0,0,0,0,0,0,1,0,,0,58:04:00,0,0,,0,0,0,25
Daniel Vladař,27,G,30,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,59:22:00,0,0,,0,0,0,5
Chris Wagner,33,C,28,1,0,1,-8,14,1,0,0,0,0,0,0,29,3.4,48,7:06,48,60,44.4,13,57,1,4
Taylor Ward,26,F,1,1,0,1,0,0,0,1,0,0,0,0,0,4,25,5,14:52,1,0,100,0,3,0,1
Ozzy Wiesblatt,22,RW,5,0,1,1,1,0,0,0,0,0,1,0,0,4,0,10,11:06,0,0,,3,13,0,1
Ryan Winterton,21,C,12,0,1,1,-11,2,0,0,0,0,1,0,0,15,0,24,10:50,1,1,50,6,20,1,4
Matthew Wood,19,RW,6,0,1,1,0,2,0,0,0,0,1,0,0,8,0,17,11:35,1,2,33.3,2,2,2,5
Jack Ahcan,27,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,15:48,0,0,,1,3,0,3
Alexander Alexeyev,25,D,8,0,0,0,2,0,0,0,0,0,0,0,0,7,0,15,16:04,0,0,,14,9,2,7
Jake Allen,34,G,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,56:04:00,0,0,,0,0,0,19
Justus Annunen,24,G,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,52:39:00,0,0,,0,0,0,2
Rasmus Asplund,27,F,6,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,3,7:56,9,6,60,2,3,4,2
Alex Barré-Boulet,27,F,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,,1,10:10,0,0,,0,3,1,0
Matt Benning,30,D,7,0,0,0,-5,4,0,0,0,0,0,0,0,7,0,15,13:02,0,0,,10,9,1,4
Jordan Binnington,31,G,56,0,0,0,0,6,0,0,0,0,0,0,0,0,,1,57:50:00,0,0,,0,0,0,18
Tobias Björnfot,23,D,14,0,0,0,-3,2,0,0,0,0,0,0,0,10,0,28,13:06,0,0,,10,13,1,6
Joel Blomqvist,23,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,51:30:00,0,0,,0,0,0,2
Samuel Bolduc,24,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,5:56,0,0,,0,0,0,0
Thomas Bordeleau,23,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10:38,1,0,100,0,0,0,1
Shane Bowers,25,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,2,8:15,1,0,100,1,9,1,1
Travis Boyd,31,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,7:48,0,0,,3,1,0,2
Chase Bradley,23,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,5:35,0,0,,1,1,0,0
Guillaume Brisebois,27,D,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,15:48,0,0,,4,2,1,0
Brendan Brisson,23,C,9,0,0,0,-3,0,0,0,0,0,0,0,0,7,0,18,9:52,0,0,,0,9,1,1
Frederic Brunet,21,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,4,14:23,0,0,,5,1,1,0
Hunter Brzustewicz,20,D,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,18:23,0,0,,0,1,1,1
Kyle Capobianco,27,D,1,0,0,0,-2,4,0,0,0,0,0,0,0,0,,1,11:23,0,0,,0,1,1,0
Nathan Clurman,26,D,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,11:05,0,0,,0,1,0,0
Dylan Coghlan,26,D,6,0,0,0,1,4,0,0,0,0,0,0,0,9,0,23,15:21,0,0,,7,2,2,8
Drew Commesso,22,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,35:41:00,0,0,,0,0,0,0
Eric Comrie,29,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:59:00,0,0,,0,0,0,4
Pheonix Copley,33,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,27:29:00,0,0,,0,0,0,0
Sebastian Cossa,22,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,45:00:00,0,0,,0,0,0,0
Cameron Crotty,25,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,5:08,0,0,,0,0,0,0
Maxwell Crozier,24,D,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,16:41,0,0,,6,11,0,6
Nico Daws,24,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,43:49:00,0,0,,0,0,0,2
Thatcher Demko,29,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:36:00,0,0,,0,0,0,8
Grigori Denisenko,24,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,8:27,0,1,0,0,5,0,0
Travis Dermott,28,D,19,0,0,0,-3,2,0,0,0,0,0,0,0,8,0,24,12:16,0,0,,16,6,3,9
Cam Dineen,26,D,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,17:11,0,0,,6,1,2,0
Jakub Dobes,23,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,54:40:00,0,0,,0,0,0,3
Louis Domingue,32,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00:00,0,0,,0,0,0,0
Karsen Dorwart,22,F,5,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,7,10:59,14,21,40,2,9,0,5
Lukáš Dostál,24,G,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,56:37:00,0,0,,0,0,0,14
Joshua Dunne,26,C,2,0,0,0,-3,5,0,0,0,0,0,0,0,1,0,4,7:06,2,5,28.6,2,5,0,0
Riley Duran,23,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,5,0,8,12:44,1,1,50,0,6,0,1
Dalibor Dvorsky,19,C,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9:25,3,3,50,0,0,0,1
Samuel Ersson,25,G,47,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,55:21:00,0,0,,0,0,0,9
Ivan Fedotov,28,G,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,54:58:00,0,0,,0,0,0,12
Tye Felhaber,26,F,5,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,4,5:31,0,0,,0,7,1,0
Domenick Fensore,23,D,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,8,19:04,0,0,,3,3,0,1
Jack Finley,22,C,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8:25,3,2,60,0,1,0,1
Marc-André Fleury,40,G,26,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,53:28:00,0,0,,0,0,0,4
Anton Forsberg,32,G,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,55:53:00,0,0,,0,0,0,6
Liam Foudy,24,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,7:27,0,0,,1,0,1,0
Mark Friedman,29,D,5,0,0,0,-4,10,0,0,0,0,0,0,0,4,0,8,14:04,0,0,,6,6,2,1
Jacob Gaucher,23,F,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7:21,10,5,66.7,2,4,1,0
Julien Gauthier,27,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7:42,0,0,,0,2,0,0
Adam Ginning,25,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,3,12:48,0,0,,1,1,0,1
Jet Greaves,23,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:01:00,0,0,,0,0,0,0
Nikita Grebenkin,21,RW,7,0,0,0,-3,2,0,0,0,0,0,0,0,2,0,6,8:45,1,0,100,1,13,1,1
Ryan Greene,21,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,13:12,6,12,33.3,3,0,0,3
Philipp Grubauer,33,G,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:10:00,0,0,,0,0,0,11
Robert Hägg,29,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,11:09,0,0,,2,11,0,0
Jani Hakanpää,32,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,5,14:05,0,0,,4,1,0,6
Brian Halonen,26,F,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,6,13:54,0,0,,1,2,1,2
Brandon Halverson,28,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:57:00,0,0,,0,0,0,2
Rafaël Harvey-Pinard,26,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8:54,0,0,,0,1,0,0
Dennis Hildeby,23,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:08:00,0,0,,0,0,0,3
Adin Hill,28,G,50,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,58:48:00,0,0,,0,0,0,21
Hayden Hodgson,28,RW,2,0,0,0,-2,5,0,0,0,0,0,0,0,2,0,4,8:35,0,0,,1,7,0,2
Marcus Högberg,30,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,48:33:00,0,0,,0,0,0,5
Samuel Honzek,20,LW,5,0,0,0,-1,2,0,0,0,0,0,0,0,6,0,8,12:24,0,1,0,2,6,1,4
Daemon Hunt,22,D,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,8:01,0,0,,2,0,1,0
Ville Husso,29,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,49:13:00,0,0,,0,0,0,4
Quinn Hutson,23,F,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,13:26,0,0,,0,0,0,4
Jere Innala,26,F,17,0,0,0,-3,2,0,0,0,0,0,0,0,8,0,21,7:09,1,2,33.3,6,20,1,2
Jan Jeník,24,RW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,2,7:42,1,2,33.3,0,2,0,0
Jonas Johansson,29,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:26:00,0,0,,0,0,0,6
Reese Johnson,26,F,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9:32,0,0,,3,6,0,1
Ryan Johnson,23,D,3,0,0,0,-2,4,0,0,0,0,0,0,0,3,0,12,17:40,0,0,,4,1,0,2
Ben Jones,25,F,26,0,0,0,-3,10,0,0,0,0,0,0,0,24,0,51,8:23,12,13,48,11,51,2,9
Caleb Jones,27,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,6,0,15,12:34,0,0,,5,10,1,3
Noah Juulsen,27,D,35,0,0,0,-12,21,0,0,0,0,0,0,0,26,0,70,16:17,0,0,,60,101,12,40
Kaapo Kähkönen,28,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:16:00,0,0,,0,0,0,0
Devin Kaplan,21,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,12:12,0,0,,0,1,0,0
Joakim Kemell,20,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,10:21,0,0,,1,4,0,1
Niklas Kokko,20,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,29:57:00,0,0,,0,0,0,0
Aleksei Kolosov,23,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,53:03:00,0,0,,0,0,0,2
Joonas Korpisalo,30,G,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:39:00,0,0,,0,0,0,4
Kirill Kudryavtsev,20,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,14:08,0,0,,5,0,0,2
Raphael Lavoie,24,C,9,0,0,0,-4,2,0,0,0,0,0,0,0,10,0,25,10:05,0,2,0,0,16,0,3
Nathan Legare,24,RW,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,4,10:41,0,0,,1,12,0,0
Tristan Lennox,22,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4:43,0,0,,0,0,0,0
Devon Levi,23,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,53:24:00,0,0,,0,0,0,0
Charlie Lindgren,31,G,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:38:00,0,0,,0,0,0,9
Jake Lucchini,29,F,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,3,11:29,1,1,50,0,2,0,0
Jett Luchanko,18,F,4,0,0,0,-3,2,0,0,0,0,0,0,0,3,0,10,14:03,17,20,45.9,0,6,1,1
Tristan Luneau,21,D,6,0,0,0,-5,2,0,0,0,0,0,0,0,6,0,16,16:33,0,0,,9,5,1,6
Alex Lyon,32,G,30,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,51:59:00,0,0,,0,0,0,9
Kurtis MacDermid,30,LW,23,0,0,0,-5,23,0,0,0,0,0,0,0,7,0,15,5:47,0,0,,8,40,1,9
Connor Mackey,28,D,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,4,16:08,0,0,,1,4,0,1
James Malatesta,21,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,10:34,1,0,100,1,6,1,4
Jacob Markström,35,G,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,59:15:00,0,0,,0,0,0,26
Spencer Martin,29,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,46:13:00,0,0,,0,0,0,6
Carter Mazur,22,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1:10,0,0,,0,0,0,0
Jaycob Megna,32,D,8,0,0,0,-2,2,0,0,0,0,0,0,0,5,0,14,16:06,0,0,,9,3,1,6
Jacob Melanson,21,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9:53,0,0,,0,4,1,1
Leevi Merilainen,22,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,55:15:00,0,0,,0,0,0,2
Ben Meyers,26,F,8,0,0,0,-2,2,0,0,0,0,0,0,0,4,0,10,8:21,24,25,49,1,9,1,1
Sonny Milano,28,LW,3,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,4,7:13,0,0,,0,1,0,1
Michael Milne,22,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6:34,0,0,,0,3,0,0
Trent Miner,23,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,45:49:00,0,0,,0,0,0,0
Daniil Misyul,24,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,12:23,0,0,,1,1,0,1
Mason Morelli,28,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,7:31,0,0,,0,4,0,0
Petr Mrázek,32,G,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,54:44:00,0,0,,0,0,0,8
Ty Mueller,21,C,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,10:18,5,10,33.3,4,1,0,1
Brett Murray,26,LW,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,0,7:55,0,0,,0,3,1,0
Matt Murray,30,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:20:00,0,0,,0,0,0,0
Alexander Nylander,26,LW,5,0,0,0,-1,4,0,0,0,0,0,0,0,4,0,8,9:53,3,1,75,0,0,1,3
Oskar Olausson,22,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6:49,0,0,,2,1,0,2
Noah Ostlund,20,C,8,0,0,0,-6,2,0,0,0,0,0,0,0,4,0,13,10:33,8,14,36.4,3,1,2,4
Victor Ostman,24,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20:00,0,0,,0,0,0,0
Yaniv Perets,24,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8:12,0,0,,0,0,0,0
Gabriel Perreault,19,RW,5,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,10,14:26,0,1,0,1,1,1,6
Alexander Petrovic,32,D,5,0,0,0,-2,4,0,0,0,0,0,0,0,5,0,16,14:06,0,0,,6,10,1,5
Michael Pezzetta,26,C,25,0,0,0,-2,24,0,0,0,0,0,0,0,14,0,31,5:56,2,6,25,7,73,2,9
Jason Polin,25,F,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5:11,1,0,100,1,1,0,0
Vasiliy Ponomarev,22,C,7,0,0,0,-1,2,0,0,0,0,0,0,0,8,0,13,10:02,14,13,51.9,2,5,3,4
Erik Portillo,24,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:37:00,0,0,,0,0,0,0
Cayden Primeau,25,G,11,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,47:37:00,0,0,,0,0,0,2
Nikita Prishchepov,20,C,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6:22,0,0,,2,10,0,2
Jacob Quillan,22,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5:21,0,0,,0,1,0,0
James Reimer,36,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:47:00,0,0,,0,0,0,1
David Rittich,32,G,34,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,54:43:00,0,0,,0,0,0,12
Matthew Robertson,23,D,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,17:38,0,0,,1,2,1,2
Olivier Rodrigue,24,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,38:43:00,0,0,,0,0,0,0
Georgi Romanov,25,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,52:07:00,0,0,,0,0,0,4
Jonas Røndbjerg,25,RW,13,0,0,0,-4,0,0,0,0,0,0,0,0,11,0,21,9:38,1,4,20,4,3,3,1
Scott Sabourin,32,F,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,1,10:27,0,0,,1,2,0,0
Steven Santini,29,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11:37,0,0,,2,1,0,0
Akira Schmid,24,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,47:37:00,0,0,,0,0,0,0
Corey Schueneman,29,D,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,14:03,0,0,,7,1,0,2
Jimmy Schuldt,29,D,8,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,9,13:47,0,0,,5,13,1,6
Donovan Sebrango,23,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,2,10:19,0,0,,0,0,0,0
Conor Sheary,32,LW,5,0,0,0,-2,4,0,0,0,0,0,0,0,3,0,8,11:20,0,1,0,1,2,0,0
Hunter Shepard,29,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00:00,0,0,,0,0,0,0
Igor Shesterkin,29,G,61,0,0,0,0,6,0,0,0,0,0,0,0,0,,1,57:28:00,0,0,,0,0,0,19
Owen Sillinger,27,F,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,1,13:09,2,3,40,1,1,1,1
Arturs Silovs,23,G,10,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,54:15:00,0,0,,0,0,0,3
Jakub Skarek,25,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,38:05:00,0,0,,0,0,0,0
Stuart Skinner,26,G,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:42:00,0,0,,0,0,0,17
Givani Smith,26,RW,13,0,0,0,-3,18,0,0,0,0,0,0,0,5,0,10,6:20,0,0,,5,20,2,2
Arvid Söderblom,25,G,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,58:14:00,0,0,,0,0,0,8
Jaxson Stauber,25,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,52:12:00,0,0,,0,0,0,1
Clay Stevenson,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00:00,0,0,,0,0,0,1
Ales Stezka,28,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:20:00,0,0,,0,0,0,0
Matthew Stienburg,24,C,8,0,0,0,0,22,0,0,0,0,0,0,0,4,0,8,6:05,0,0,,1,16,0,3
Riley Stillman,26,D,5,0,0,0,-1,7,0,0,0,0,0,0,0,1,0,5,7:11,0,0,,1,8,0,4
Aydar Suniev,20,LW,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,14:48,0,0,,0,0,0,1
Ryan Suzuki,23,C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,6:36,4,3,57.1,0,2,0,0
Jeremy Swayman,26,G,58,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,58:28:00,0,0,,0,0,0,21
Mads Søgaard,24,G,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,45:47:00,0,0,,0,0,0,0
Cam Talbot,37,G,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:13:00,0,0,,0,0,0,9
Dustin Tokarski,35,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:43:00,0,0,,0,0,0,2
Nikita Tolopilo,24,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,41:50:00,0,0,,0,0,0,0
Dominic Toninato,30,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8:16,3,2,60,3,7,0,2
Riley Tufte,26,LW,6,0,0,0,-3,4,0,0,0,0,0,0,0,1,0,5,9:12,1,1,50,1,8,0,3
Ryan Ufko,21,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,15:37,0,0,,0,1,0,2
Semyon Varlamov,36,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:14:00,0,0,,0,0,0,4
Jeffrey Viel,28,F,5,0,0,0,-1,14,0,0,0,0,0,0,0,3,0,6,7:41,1,0,100,2,12,2,4
Matt Villalta,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00:00,0,0,,0,0,0,0
Jesper Wallstedt,22,G,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,58:43:00,0,0,,0,0,0,0
Tim Washe,23,F,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,7:44,4,4,50,0,4,0,0
Scott Wedgewood,32,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:13:00,0,0,,0,0,0,7
Colin White,28,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,7:18,3,10,23.1,1,2,0,1
Jack Williams,,F,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,11:09,5,6,45.5,1,0,1,1
Joseph Woll,26,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:09:00,0,0,,0,0,0,12